invoice_amount,payment_terms_days,customer_tenure_months,customer_credit_score,previous_late_payments_count,avg_past_delay_days,number_of_open_invoices,discount_offered_pct,invoice_month,is_recurring_customer,sales_channel,weekday_issued,paid_late
4789.81,45,0.7,716.0,0,0.0,4,0,1,1,direct,0,0
1427.98,45,12.1,520.0,2,12.5,6,0,5,1,direct,3,0
7153.85,30,12.8,477.0,2,10.8,3,1,7,1,online,3,0
8488.85,60,15.1,545.0,2,1.6,1,3,8,0,online,3,0
628.96,45,28.3,837.0,2,10.1,5,0,5,0,direct,0,0
1127.82,60,0.1,577.0,1,6.6,3,3,8,0,reseller,2,0
4084.92,45,102.0,746.0,1,2.8,1,1,1,1,direct,3,0
2739.09,30,19.5,622.0,2,28.7,4,0,11,1,online,6,1
3586.31,30,63.6,658.0,1,6.9,2,1,3,0,online,6,0
1689.62,30,9.5,676.0,1,13.5,3,0,8,1,online,2,1
8034.16,15,5.1,828.0,2,4.5,2,1,2,0,online,4,0
7332.07,30,5.1,733.0,0,0.0,4,3,12,0,reseller,0,0
3863.88,15,34.5,715.0,1,19.0,3,3,5,1,direct,3,1
10041.85,15,4.3,797.0,2,20.3,0,0,7,1,online,0,1
5545.59,60,35.3,623.0,3,17.9,0,0,5,0,direct,2,0
1680.15,45,0.8,776.0,0,0.0,3,0,6,1,online,6,0
5073.95,30,27.9,761.0,2,7.2,1,1,10,0,direct,0,0
1536.11,30,2.5,760.0,4,3.9,0,0,10,0,reseller,2,0
8027.31,30,27.3,666.0,4,3.7,3,3,2,1,reseller,3,0
3480.97,60,2.0,641.0,1,8.4,4,1,3,0,direct,4,0
3082.89,45,2.5,602.0,3,26.5,3,0,5,1,direct,4,1
1972.71,45,35.4,607.0,1,9.4,5,0,8,0,reseller,6,0
10941.16,30,42.3,597.0,2,0.7,5,1,8,1,direct,4,0
3168.21,30,19.9,713.0,2,5.7,4,1,5,0,reseller,1,0
2476.26,45,15.5,659.0,0,0.0,3,0,4,0,reseller,5,0
2652.03,90,18.3,719.0,1,7.5,5,3,2,1,direct,4,1
5878.63,30,26.8,724.0,1,31.0,3,1,1,1,direct,3,0
5058.88,30,9.3,585.0,0,0.0,4,0,4,0,direct,3,0
5278.83,30,8.4,582.0,1,3.3,2,0,10,1,direct,3,1
5365.47,30,55.1,659.0,1,28.3,7,2,8,1,direct,0,0
25021.3,90,29.8,610.0,1,2.8,4,3,5,1,direct,0,0
2525.58,45,10.2,601.0,0,0.0,4,1,12,1,reseller,2,0
2296.13,30,4.1,833.0,2,8.2,7,3,12,1,direct,4,0
1750.41,30,29.2,542.0,0,0.0,2,0,7,1,online,0,0
6338.4,30,45.8,850.0,1,19.2,4,0,7,1,direct,3,1
10057.51,15,30.2,706.0,2,8.7,2,3,5,1,reseller,1,0
3286.07,30,30.5,769.0,0,0.0,3,2,10,0,direct,5,0
1709.33,60,19.3,758.0,1,3.8,1,3,11,1,reseller,6,0
1733.62,45,0.7,736.0,1,5.5,1,2,10,1,reseller,5,0
6538.96,30,1.5,830.0,3,10.7,2,0,3,0,direct,2,0
